Student name,semester new,coursename
Carrie Fisher,Summer 2000,COMPUT LINEAR ALGEBRA
Carrie Fisher,Summer 2001,Environmental Case Studies
Carrie Fisher,Summer 2003,BRITAIN SINCE 1945
Carrie Fisher,Summer 2000,FRESHWATER ECOLOGY
Carrie Fisher,Summer 2001,Environmental Studies Research Seminar Junior Level
Carrie Fisher,Summer 2002,ELEMENTARY ARABIC II
Carrie Fisher,Summer 2002,ELEMENTARY FRENCH I
Johnny Mathis,Summer 2001,BEHAVIORAL PHARMACOLOGY
Johnny Mathis,Summer 2002,FOOD/FEAST ARCH OF TABLE
Johnny Mathis,Spring 2005,COMPUT LINEAR ALGEBRA
Johnny Mathis,Spring 2005,CONTEMPORARY POL.THOUGHT
Johnny Mathis,Spring 2004,Environmental Case Studies
Johnny Mathis,Summer 2003,ACCELERATED INTERMD GRMN
Johnny Mathis,Spring 2004,ANALYTICAL MECHANICS
Johnny Mathis,Summer 2004,CONTEMPORARY AFRICAN ART
Johnny Mathis,Summer 2000,A WORLD AT WAR
Johnny Mathis,Summer 2002,19TH-CENT BRITISH LIT
Johnny Mathis,Summer 2001,AMERICAN SOUTH 1861-PRES
Johnny Mathis,Summer 2000,Environmental Studies Research Seminar Junior Level
Johnny Mathis,Summer 2004,ELEMENTARY ARABIC II
James Stewart,Fall 2001,BEHAVIORAL PHARMACOLOGY
James Stewart,Spring 2001,AMERICAN SOCIETY
James Stewart,Spring 2002,AFRICAN LANG. & CULTURE
James Stewart,Spring 2002,ANTH OF GLOBAL LABOR: Anthropology of Global Labor
James Stewart,Fall 2004,Business German: A Micro Perspective
James Stewart,Fall 2000,COMPUTER LINEAR ALGEBRA
James Stewart,Fall 2004,AMERICAN HEALT POLICY
James Stewart,Spring 2002,ANALYTICAL MECHANICS
James Stewart,Spring 2003,CONTEMPORARY AFRICAN ART
James Stewart,Spring 2001,FRESHWATER ECOLOGY
James Stewart,Fall 2002,FOOD/FEAST ARCH OF TABLE
Pamela Jones,Fall 2002,CURR ISSUES GLOBAL HEALT
Pamela Jones,Spring 2005,AMER POST-1800: BF SEM: MODERN AMERICAN CITIES
Pamela Jones,Fall 2001,CONTEMP ART - 1945 to PRESENT
Pamela Jones,Fall 2000,ART - from ancient to 1945
Pamela Jones,Spring 2001,ANALYTICAL MECHANICS
Pamela Jones,Spring 2003,CONTEMPORARY AFRICAN ART
Pamela Jones,Spring 2004,ELEMENTARY ARABIC II
Ben Stein,Spring 2002,BEHAVIORAL PHARMACOLOGY
Ben Stein,Spring 2004,AMERICAN FOREIGN POLICY
Ben Stein,Spring 2001,COMPUT LINEAR ALGEBRA
Ben Stein,Spring 2001,Environmental Case Studies
Ben Stein,Summer 2003,ACCELERATED INTERMD GRMN
Ben Stein,Spring 2002,ANALYTICAL MECHANICS
Ben Stein,Summer 2002,CONTEMPORARY AFRICAN ART
Ben Stein,Summer 2002,FRESHWATER ECOLOGY
Ben Stein,Spring 2004,A WORLD AT WAR
Ben Stein,Spring 2005,BECOMING HUMAN
Ben Stein,Summer 2001,EUROPE IN A WIDER WORLD
Ben Stein,Spring 2005,ELEMENTARY ARABIC II
Ben Stein,Summer 2001,ELEMENTARY FRENCH I
"John McKernan, Jr.",Spring 2003,BEHAVIORAL PHARMACOLOGY
"John McKernan, Jr.",Spring 2004,AMERICAN FOREIGN POLICY
"John McKernan, Jr.",Spring 2001,COMPUT LINEAR ALGEBRA
"John McKernan, Jr.",Spring 2001,Environmental Case Studies
"John McKernan, Jr.",Summer 2001,AMERICAN HEALT POLICY
"John McKernan, Jr.",Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
"John McKernan, Jr.",Spring 2004,EDGAR ALLAM POE'S SCIEN
"John McKernan, Jr.",Spring 2002,ANALYTICAL MECHANICS
"John McKernan, Jr.",Summer 2002,CONTEMPORARY AFRICAN ART
"John McKernan, Jr.",Spring 2002,A WORLD AT WAR
"John McKernan, Jr.",Spring 2005,BECOMING HUMAN
"John McKernan, Jr.",Summer 2001,ELEMENTARY FRENCH I
"John McKernan, Jr.",Summer 2000,BRITISH POETRY 1660-1914
Erma Bombeck,Fall 2005,BEHAVIORAL PHARMACOLOGY
Charlton Heston,Spring 2003,BEHAVIORAL PHARMACOLOGY
Gov. Ann W. Richards,Fall 2000,BEHAVIORAL PHARMACOLOGY
Erma Bombeck,Spring 2005,CREATIVE WRITING: WRITING PERSONAL ESSAY
Charlton Heston,Summer 2000,AMERICAN FOREIGN POLICY
Erma Bombeck,Spring 2003,FOOD/FEAST ARCH OF TABLE
Gov. Ann W. Richards,Fall 2003,BIOLOGICAL CHEMISTRY II
Erma Bombeck,Fall 2003,COMPUT LINEAR ALGEBRA
Charlton Heston,Fall 2005,COMPUT LINEAR ALGEBRA
Erma Bombeck,Fall 2004,Environmental Case Studies
Charlton Heston,Fall 2005,Environmental Case Studies
Gov. Ann W. Richards,Fall 2001,Environmental Case Studies
Charlton Heston,Summer 2000,BRITAIN SINCE 1945
Charlton Heston,Spring 2003,Business German A Micro Perspective
Erma Bombeck,Spring 2001,AFRICAN-AMERICAN LIT: AFRICAN-AMER LIT:CHANGE
Charlton Heston,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Erma Bombeck,Spring 2002,"ART, from ancient to 1945"
Gov. Ann W. Richards,Spring 2002,"ART, from ancient to 1945"
Gov. Ann W. Richards,Fall 2004,EUR PRE-1800: BF SEM: UTOPIA
Charlton Heston,Spring 2001,ANALYTICAL MECHANICS
Erma Bombeck,Fall 2005,ANALYTICAL MECHANICS
Gov. Ann W. Richards,Fall 2005,ANALYTICAL MECHANICS
Erma Bombeck,Spring 2005,CONTEMPORARY AFRICAN ART
Charlton Heston,Summer 2000,CONTEMPORARY AFRICAN ART
Gov. Ann W. Richards,Spring 2001,CONTEMPORARY AFRICAN ART
Charlton Heston,Spring 2002,A WORLD AT WAR
Erma Bombeck,Fall 2004,A WORLD AT WAR
Gov. Ann W. Richards,Fall 2005,AMERICAN HEALT POLICY
Erma Bombeck,Spring 2004,EPIC TRADITIONS OF INDIA
Erma Bombeck,Spring 2002,"BIBLE IN TRANSLATION: Proverbs, Ecclesiastes, and Job"
Gov. Ann W. Richards,Spring 2002,"BIBLE IN TRANSLATION: Proverbs, Ecclesiastes, and Job"
Charlton Heston,Spring 2001,19TH-CENT BRITISH LIT
Erma Bombeck,Spring 2004,ELEMENTARY ARABIC II
Charlton Heston,Spring 2005,ELEMENTARY ARABIC II
Charlton Heston,Spring 2005,COMPARATIVE POLITICS
Barry Goldwater,Fall 2003,CONTEMPORARY AFRICAN-ART
Barry Goldwater,Fall 2001,COMMUNITY MATH TEACH PRO
Barry Goldwater,Fall 2003,CONTEMPORARY POL.THOUGHT
Barry Goldwater,Fall 2005,ECONOMETRICS
Barry Goldwater,Fall 2000,COMPUTER LINEAR ALGEBRA
Barry Goldwater,Spring 2001,CONTEMPORARY AFRICAN ART
Barry Goldwater,Fall 2004,"DNA, DIET, AND DISEASE: The Biology of Food"
Barry Goldwater,Fall 2004,ELEMENTARY ARABIC II
Dave Barry,Spring 2005,AMERICAN FOREIGN POLICY
Dave Barry,Summer 2002,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Dave Barry,Fall 2003,COMPUT LINEAR ALGEBRA
Dave Barry,Summer 2003,Environmental Case Studies
Dave Barry,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Dave Barry,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Dave Barry,Fall 2004,AMERICAN HEALT POLICY
Dave Barry,Summer 2002,CONTEMPORARY AFRICAN ART
Dave Barry,Spring 2002,FICTION WRITING WORKSHOP
Dave Barry,Spring 2001,EVIDENCED BASED CRIME & JUSTICE POLICY
Dave Barry,Spring 2004,ELEMENTARY FRENCH I
DRichard M. Daley,Fall 2000,COMPUTER LINEAR ALGEBRA
DRichard M. Daley,Spring 2003,CONTEMPORARY AFRICAN ART
DRichard M. Daley,Spring 2003,AMERICAN POETRY
DRichard M. Daley,Fall 2000,FOOD/FEAST ARCH OF TABLE
DRichard M. Daley,Spring 2002,EXPERIMENTAL WRITING SEM
DRichard M. Daley,Fall 2004,ELEMENTARY FRENCH I
DRichard M. Daley,Fall 2004,ELEMENTARY FRENCH II
DRichard M. Daley,Fall 2005,COMPARATIVE POLITICS
DRichard M. Daley,Spring 2001,EARLY MESOPOTAMIAN HIST - SOC
Jacques-Yves Cousteau,Fall 2001,BEHAVIORAL PHARMACOLOGY
Jacques-Yves Cousteau,Spring 2005,CREATIVE WRITING: WRITING PERSONAL ESSAY
Jacques-Yves Cousteau,Fall 2005,AMERICAN FOREIGN POLICY
Jacques-Yves Cousteau,Summer 2004,FOOD/FEAST ARCH OF TABLE
Jacques-Yves Cousteau,Summer 2001,ECONOMETRIC FORECASTING
Jacques-Yves Cousteau,Spring 2001,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Jacques-Yves Cousteau,Summer 2002,BEHAVIORAL ECON & PSYCH
Jacques-Yves Cousteau,Fall 2003,Environmental Case Studies
Jacques-Yves Cousteau,Summer 2000,ACCELERATED INTERMD GRMN
Jacques-Yves Cousteau,Fall 2004,ECONOMETRICS
Jacques-Yves Cousteau,Spring 2002,ANALYTICAL MECHANICS
Jacques-Yves Cousteau,Fall 2000,20th Century Russian Literature: Fiction and Reality
Jacques-Yves Cousteau,Spring 2004,CONTEMPORARY AFRICAN ART
Jacques-Yves Cousteau,Summer 2003,"DNA, DIET, AND DISEASE: The Biology of Food"
Jacques-Yves Cousteau,Fall 2002,COMM & THE PRESIDENCY
Jacques-Yves Cousteau,Spring 2003,EXPERIMENTAL WRITING SEM
Carol Channing,Spring 2005,BEHAVIORAL PHARMACOLOGY
Carol Channing,Summer 2001,FOOD/FEAST ARCH OF TABLE
Carol Channing,Spring 2004,COMPUT LINEAR ALGEBRA
Carol Channing,Spring 2005,Environmental Case Studies
Carol Channing,Summer 2000,BRITAIN SINCE 1945
Carol Channing,Summer 2001,ART - from ancient to 1945
Carol Channing,Summer 2000,ANALYTICAL MECHANICS
Carol Channing,Spring 2004,A WORLD AT WAR
Carol Channing,Summer 2003,BECOMING HUMAN
Carol Channing,Summer 2002,ELEMENTARY ARABIC II
Carol Channing,Summer 2002,FRANCE & THE EUROP.UNION
BLauren Bacall,Summer 2004,BEHAVIORAL PHARMACOLOGY
BLauren Bacall,Summer 2002,COMPUT LINEAR ALGEBRA
BLauren Bacall,Summer 2002,Environmental Case Studies
BLauren Bacall,Summer 2004,ANALYTICAL MECHANICS
BLauren Bacall,Summer 2003,A WORLD AT WAR
BLauren Bacall,Summer 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Michael J. Chitwood,Spring 2004,CRIME AND DETECTION: Dark Deeds
Michael J. Chitwood,Spring 2001,BIOLOGICAL CHEMISTRY II
Michael J. Chitwood,Fall 2001,COMPUT LINEAR ALGEBRA
Michael J. Chitwood,Spring 2002,CONTEMPORARY POL.THOUGHT
Michael J. Chitwood,Fall 2001,Environmental Case Studies
Michael J. Chitwood,Fall 2004,Business German: A Micro Perspective
Michael J. Chitwood,Fall 2004,ECONOMETRICS
Michael J. Chitwood,Spring 2001,ANALYTICAL MECHANICS
Michael J. Chitwood,Spring 2004,COMMUNICATIONS INTERNSHP
Michael J. Chitwood,Spring 2005,CONTEMPORARY AFRICAN ART
Michael J. Chitwood,Spring 2002,FICTION WRITING WORKSHOP
Michael J. Chitwood,Spring 2005,ARCHAEOL OF PRIVATE LIFE
Michael J. Chitwood,Fall 2003,"EYE, MIND AND IMAGE"
Vincent Price,Fall 2004,BEHAVIORAL PHARMACOLOGY
Vincent Price,Fall 2005,FOOD/FEAST ARCH OF TABLE
Vincent Price,Spring 2002,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Vincent Price,Fall 2003,COMPUT LINEAR ALGEBRA
Vincent Price,Fall 2003,Environmental Case Studies
Vincent Price,Spring 2001,AFRICAN-AMERICAN LIT: AFRICAN-AMER LIT:CHANGE
Vincent Price,Fall 2004,ANALYTICAL MECHANICS
Vincent Price,Spring 2002,20th Century Russian Literature: Fiction and Reality
Vincent Price,Spring 2003,CONTEMPORARY AFRICAN ART
Vincent Price,Fall 2001,A WORLD AT WAR
Vincent Price,Fall 2005,DIGITAL MEDIA & THE CITY
Vincent Price,Fall 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Vincent Price,Spring 2001,19TH-CENT BRITISH LIT
Vincent Price,Spring 2003,AMERICAN SOUTH 1861-PRES
Angelica Huston,Fall 2002,CREATIVE WRITING: WRITING PERSONAL ESSAY
Angelica Huston,Spring 2002,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Angelica Huston,Spring 2001,BEG RDG/WRTG CHINESE II
Angelica Huston,Fall 2000,ENVIRONMENTAL SYSTEMS II
Angelica Huston,Fall 2005,ECONOMETRICS
Angelica Huston,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Angelica Huston,Fall 2004,ANALYTICAL MECHANICS
Angelica Huston,Spring 2003,CONTEMPORARY AFRICAN ART
Angelica Huston,Fall 2000,A WORLD AT WAR
Angelica Huston,Fall 2005,DIGITAL MEDIA & THE CITY
Angelica Huston,Spring 2002,EXPERIMENTAL WRITING SEM
Angelica Huston,Spring 2001,19TH-CENT BRITISH LIT
Red Auerbach,Fall 2004,BEHAVIORAL PHARMACOLOGY
Red Auerbach,Spring 2001,AMERICAN FOREIGN POLICY
Red Auerbach,Summer 2000,CRIME AND DETECTION: Dark Deeds
Red Auerbach,Fall 2003,COMPUT LINEAR ALGEBRA
Red Auerbach,Spring 2005,CONTEMPORARY POL.THOUGHT
Red Auerbach,Fall 2004,Environmental Case Studies
Red Auerbach,Spring 2004,AMERICAN HEALT POLICY
Red Auerbach,Fall 2005,ANALYTICAL MECHANICS
Red Auerbach,Spring 2002,20th Century Russian Literature: Fiction and Reality
Red Auerbach,Spring 2005,CONTEMPORARY AFRICAN ART
Red Auerbach,Fall 2003,A WORLD AT WAR
Red Auerbach,Spring 2003,EXPERIMENTAL WRITING SEM
Red Auerbach,Spring 2002,FRANCE & THE EUROP.UNION
Rita Moreno,Fall 2004,BEHAVIORAL PHARMACOLOGY
Rita Moreno,Spring 2001,FOOD/FEAST ARCH OF TABLE
Rita Moreno,Spring 2001,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Rita Moreno,Fall 2003,COMPUT LINEAR ALGEBRA
Rita Moreno,Spring 2002,CONTEMPORARY POL.THOUGHT
Rita Moreno,Fall 2004,Environmental Case Studies
Rita Moreno,Fall 2000,ECONOMETRICS
Rita Moreno,Fall 2001,CONTEMP ART - 1945 to PRESENT
Rita Moreno,Fall 2000,ART - from ancient to 1945
Rita Moreno,Fall 2001,AMERICAN HEALT POLICY
Rita Moreno,Spring 2004,ANALYTICAL MECHANICS
Rita Moreno,Spring 2004,CONTEMPORARY AFRICAN ART
Rita Moreno,Fall 2003,A WORLD AT WAR
Teri Garr,Summer 2002,BEHAVIORAL PHARMACOLOGY
Teri Garr,Summer 2003,ANTH OF GLOBAL LABOR: Anthropology of Global Labor
Teri Garr,Spring 2005,COMPUT LINEAR ALGEBRA
Teri Garr,Summer 2000,ANALYTICAL MECHANICS
Teri Garr,Summer 2001,A WORLD AT WAR
Alistair Cooke,Fall 2001,Environmental Case Studies
Kenneth Branagh,Fall 2003,BEHAVIORAL PHARMACOLOGY
Kenneth Branagh,Fall 2004,AMERICAN FOREIGN POLICY
Kenneth Branagh,Spring 2001,COMPUT LINEAR ALGEBRA
Kenneth Branagh,Fall 2004,Environmental Case Studies
Kenneth Branagh,Spring 2001,ART ancient to 1945
Kenneth Branagh,Summer 2000,BRITAIN SINCE 1945
Kenneth Branagh,Spring 2002,AMERICAN HEALT POLICY
Kenneth Branagh,Spring 2002,ANALYTICAL MECHANICS
Kenneth Branagh,Spring 2004,COMMUNICATIONS INTERNSHP
Kenneth Branagh,Spring 2005,CONTEMPORARY AFRICAN ART
Kenneth Branagh,Fall 2003,A WORLD AT WAR
Kenneth Branagh,Spring 2003,CELL BIOLOGY and BIOCHEMISTRY
Kenneth Branagh,Spring 2004,ELEMENTARY FRENCH I
David Michael Greene,Summer 2004,AMERICAN FOREIGN POLICY
Jimmy Carter,Spring 2003,FOOD/FEAST ARCH OF TABLE
David Michael Greene,Summer 2002,COMPUT LINEAR ALGEBRA
David Michael Greene,Summer 2002,Environmental Case Studies
Jimmy Carter,Fall 2003,Environmental Case Studies
David Michael Greene,Summer 2003,ACCELERATED INTERMD GRMN
Jimmy Carter,Fall 2005,ECONOMETRICS
Richard Dysart,Fall 2002,Business German - Micro Perspective
Richard Dysart,Fall 2002,CONTEMPORARY AFRICAN ART
Jimmy Carter,Fall 2000,A WORLD AT WAR
Jimmy Carter,Fall 2001,EVIDENCED BASED CRIME AND JUSTICE POLICY
Boomer Esiason,Summer 2001,AMERICAN FOREIGN POLICY
Boomer Esiason,Summer 2000,COMPUT LINEAR ALGEBRA
Boomer Esiason,Spring 2002,Environmental Case Studies
Boomer Esiason,Spring 2004,A WORLD AT WAR
Sam Donaldson,Fall 2003,BEHAVIORAL PHARMACOLOGY
Sam Donaldson,Fall 2001,AMERICAN FOREIGN POLICY
Sam Donaldson,Spring 2003,DEVIL'S PACT LIT/FILM
Sam Donaldson,Spring 2001,AMERICAN HEALTH POLICY
Sam Donaldson,Fall 2002,COMPUT LINEAR ALGEBRA
Sam Donaldson,Fall 2001,Environmental Case Studies
Sam Donaldson,Fall 2003,AMERICAN HEALT POLICY
Sam Donaldson,Spring 2002,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Sam Donaldson,Fall 2005,ANALYTICAL MECHANICS
Sam Donaldson,Spring 2004,COMMUNICATIONS INTERNSHP
Sam Donaldson,Spring 2003,CONTEMPORARY AFRICAN ART
Sam Donaldson,Spring 2001,FRESHWATER ECOLOGY
Sam Donaldson,Fall 2000,A WORLD AT WAR
Cokie Roberts,Spring 2004,COMPUT LINEAR ALGEBRA
Cokie Roberts,Spring 2004,Environmental Case Studies
Cokie Roberts,Spring 2005,ANALYTICAL MECHANICS
Mike Ditka,Fall 2002,BEHAVIORAL PHARMACOLOGY
Mike Ditka,Fall 2004,CREATIVE WRITING: WRITING PERSONAL ESSAY
Mike Ditka,Fall 2003,AMERICAN FOREIGN POLICY
Mike Ditka,Fall 2003,BEG RDG/WRTG CHINESE II
Mike Ditka,Spring 2002,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Mike Ditka,Spring 2002,ANALYTICAL MECHANICS
Mike Ditka,Spring 2003,CONTEMPORARY AFRICAN ART
Mike Ditka,Fall 2002,A WORLD AT WAR
Mike Ditka,Spring 2001,AMERICAN POETRY
Mike Ditka,Spring 2002,EXPERIMENTAL WRITING SEM
Mike Ditka,Spring 2002,ELEMENTARY FRENCH I
Mike Ditka,Spring 2001,COMPARATIVE POLITICS
Mike Ditka,Spring 2003,ART AND RELIGION
Lena Horne,Fall 2003,BEHAVIORAL PHARMACOLOGY
Lena Horne,Spring 2001,FOOD/FEAST ARCH OF TABLE
Lena Horne,Spring 2002,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Lena Horne,Fall 2001,COMPUT LINEAR ALGEBRA
Lena Horne,Spring 2002,CONTEMPORARY POL.THOUGHT
Lena Horne,Fall 2001,Environmental Case Studies
Lena Horne,Spring 2001,EUR PRE-1800: BF SEM: UTOPIA
Lena Horne,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Lena Horne,Spring 2004,ANALYTICAL MECHANICS
Lena Horne,Fall 2003,20th Century Russian Literature: Fiction and Reality
Lena Horne,Spring 2005,CONTEMPORARY AFRICAN ART
Lena Horne,Fall 2004,A WORLD AT WAR
Lena Horne,Fall 2004,20TH-CENT POETRY
Vincent Gardenia,Fall 2002,BEHAVIORAL PHARMACOLOGY
Vincent Gardenia,Spring 2004,FOOD/FEAST ARCH OF TABLE
Vincent Gardenia,Fall 2001,Environmental Case Studies
Vincent Gardenia,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Vincent Gardenia,Fall 2000,COMPUTER LINEAR ALGEBRA
Vincent Gardenia,Spring 2001,ANALYTICAL MECHANICS
Vincent Gardenia,Fall 2004,A WORLD AT WAR
Vincent Gardenia,Summer 2004,CELL BIOLOGY and BIOCHEM
The Muppets,Spring 2003,BEHAVIORAL PHARMACOLOGY
The Muppets,Spring 2002,FOOD/FEAST ARCH OF TABLE
The Muppets,Spring 2005,COMPUT LINEAR ALGEBRA
The Muppets,Spring 2004,Environmental Case Studies
The Muppets,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
The Muppets,Spring 2001,A WORLD AT WAR
The Muppets,Spring 2002,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Geraldo Rivera,Spring 2001,AMERICAN FOREIGN POLICY
Geraldo Rivera,Fall 2004,A WORLD AT WAR
Geraldo Rivera,Fall 2003,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
David Geffen,Spring 2001,BEHAVIORAL PHARMACOLOGY
David Geffen,Fall 2005,FOOD/FEAST ARCH OF TABLE
David Geffen,Spring 2005,AMERICAN HEALTH POLICY
David Geffen,Fall 2004,COMPUT LINEAR ALGEBRA
David Geffen,Fall 2003,Environmental Case Studies
David Geffen,Spring 2004,EDGAR ALLAM POE'S SCIEN
David Geffen,Spring 2001,ANALYTICAL MECHANICS
David Geffen,Summer 2000,CONTEMPORARY AFRICAN ART
David Geffen,Spring 2002,FICTION WRITING WORKSHOP
David Geffen,Fall 2004,A WORLD AT WAR
David Geffen,Spring 2005,CELL. BIOL. & BIOCHEM.
David Geffen,Spring 2003,AMERICAN SOUTH 1861-PRES
David Geffen,Spring 2004,ELEMENTARY ARABIC II
Rene Auberjonois,Fall 2001,BEHAVIORAL PHARMACOLOGY
Rene Auberjonois,Fall 2005,CREATIVE WRITING: WRITING PERSONAL ESSAY
Rene Auberjonois,Fall 2003,AMERICAN FOREIGN POLICY
Rene Auberjonois,Spring 2003,FOOD/FEAST ARCH OF TABLE
Rene Auberjonois,Fall 2003,COMPUT LINEAR ALGEBRA
Rene Auberjonois,Fall 2004,Environmental Case Studies
Rene Auberjonois,Spring 2001,AFRICAN-AMERICAN LIT: AFRICAN-AMER LIT:CHANGE
Rene Auberjonois,Fall 2000,COMMUNICATION BEHAVIOR
Rene Auberjonois,Fall 2005,ANALYTICAL MECHANICS
Rene Auberjonois,Spring 2003,CONTEMPORARY AFRICAN ART
Rene Auberjonois,Fall 2000,A WORLD AT WAR
Rene Auberjonois,Spring 2001,AMERICAN POETRY
Rene Auberjonois,Fall 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Rene Auberjonois,Fall 2004,EXPERIMENTAL WRITING SEM
Rene Auberjonois,Spring 2002,ELEMENTARY FRENCH I
Rene Auberjonois,Spring 2002,ELEMENTARY FRENCH II
Jean Auel,Summer 2001,BEHAVIORAL PHARMACOLOGY
Jean Auel,Spring 2004,AMERICAN FOREIGN POLICY
Jean Auel,Spring 2001,COMPUT LINEAR ALGEBRA
Jean Auel,Spring 2002,Environmental Case Studies
Jean Auel,Summer 2003,ACCELERATED INTERMD GRMN
Jean Auel,Spring 2002,ANALYTICAL MECHANICS
Jean Auel,Spring 2001,A WORLD AT WAR
Jean Auel,Spring 2005,BECOMING HUMAN
Jean Auel,Spring 2004,ELEMENTARY ARABIC II
Michelle Phillips,Spring 2002,BEHAVIORAL PHARMACOLOGY
Annie Lennox,Summer 2000,BEHAVIORAL PHARMACOLOGY
Annie Lennox,Spring 2005,AMERICAN FOREIGN POLICY
Michelle Phillips,Spring 2004,AMERICAN FOREIGN POLICY
Michelle Phillips,Fall 2003,AMERICAN HEALTH POLICY
Annie Lennox,Spring 2004,COMPUT LINEAR ALGEBRA
Michelle Phillips,Spring 2002,COMPUT LINEAR ALGEBRA
Annie Lennox,Spring 2005,Environmental Case Studies
Michelle Phillips,Spring 2005,Environmental Case Studies
Michelle Phillips,Fall 2004,AMERICAN HEALT POLICY
Michelle Phillips,Spring 2001,ANALYTICAL MECHANICS
Annie Lennox,Summer 2000,ANALYTICAL MECHANICS
Michelle Phillips,Spring 2004,COMMUNICATIONS INTERNSHP
Annie Lennox,Summer 2001,COMMUNICATIONS INTERNSHP
Michelle Phillips,Summer 2000,CONTEMPORARY AFRICAN ART
Michelle Phillips,Fall 2003,FRESHWATER ECOLOGY
Michelle Phillips,Fall 2004,A WORLD AT WAR
Annie Lennox,Spring 2004,A WORLD AT WAR
Michelle Phillips,Spring 2005,BECOMING HUMAN
Michelle Phillips,Fall 2005,COMM and  THE PRESIDENCY
Annie Lennox,Summer 2001,EXPERIMENTAL WRITING SEM
Annie Lennox,Summer 2002,ELEMENTARY FRENCH I
Annie Lennox,Summer 2002,ELEMENTARY FRENCH II
Lynn Johnston,Fall 2000,BIOLOGICAL CHEMISTRY II
Debbie Allen,Summer 2004,COMPUT LINEAR ALGEBRA
Lynn Johnston,Fall 2000,A WORLD AT WAR
Tim Conway,Spring 2002,BEHAVIORAL PHARMACOLOGY
Tim Conway,Spring 2002,AMERICAN FOREIGN POLICY
Tim Conway,Spring 2003,COMPUT LINEAR ALGEBRA
Tim Conway,Spring 2003,Environmental Case Studies
Tim Conway,Spring 2004,EDGAR ALLAM POE'S SCIEN
Tim Conway,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Tim Conway,Spring 2004,ANALYTICAL MECHANICS
Tim Conway,Spring 2005,20th Century Russian Literature: Fiction and Reality
Tim Conway,Spring 2005,CONTEMPORARY AFRICAN ART
Tim Conway,Spring 2001,A WORLD AT WAR
Tim Conway,Spring 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Tim Conway,Summer 2000,EXPERIMENTAL WRITING SEM
Tim Conway,Spring 2005,19TH-CENT BRITISH LIT
Tim Conway,Summer 2000,BRITISH POETRY 1660-1914
Buzz Aldrin,Fall 2003,BEHAVIORAL PHARMACOLOGY
Buzz Aldrin,Fall 2001,AMERICAN FOREIGN POLICY
Buzz Aldrin,Fall 2002,COMPUT LINEAR ALGEBRA
Buzz Aldrin,Fall 2002,Environmental Case Studies
Buzz Aldrin,Fall 2005,"Business German, A Micro Perspective"
Buzz Aldrin,Fall 2004,EUR PRE-1800: BF SEM: UTOPIA
Buzz Aldrin,Fall 2000,ANALYTICAL MECHANICS
Buzz Aldrin,Spring 2002,CONTEMPORARY AFRICAN ART
Buzz Aldrin,Fall 2001,A WORLD AT WAR
Buzz Aldrin,Fall 2004,CEL BIO BIOCHEMISTRY
Buzz Aldrin,Fall 2003,CELL BIOLOGY & BIOCHEM
Buzz Aldrin,Spring 2002,EUROPE IN A WIDER WORLD
Buzz Aldrin,Fall 2000,19TH-CENT BRITISH LIT
Buzz Aldrin,Fall 2005,FRENCH PHONETICS
Bonnie Blair,Summer 2000,BEHAVIORAL PHARMACOLOGY
Bonnie Blair,Spring 2005,AMERICAN FOREIGN POLICY
Bonnie Blair,Spring 2002,COMPUT LINEAR ALGEBRA
Bonnie Blair,Spring 2002,Environmental Case Studies
Bonnie Blair,Summer 2003,BRITAIN SINCE 1945
Bonnie Blair,Summer 2000,ANALYTICAL MECHANICS
Bonnie Blair,Spring 2002,A WORLD AT WAR
Bonnie Blair,Summer 2004,CELL BIOLOGY and BIOCHEM
Bonnie Blair,Summer 2001,AMERICAN SOUTH 1861-PRES
Harold Prince,Fall 2000,BEHAVIORAL PHARMACOLOGY
Harold Prince,Spring 2004,CREATIVE WRITING: WRITING PERSONAL ESSAY
Harold Prince,Fall 2002,CURR ISSUES GLOBAL HEALT
